Country Name	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012
Gibraltar	37.60629664	61.71852992	63.89078488	91.56990549	89.77370405	91.74357116	99.70038276	109.6274591	117.5831844	123.378005	127.2231614	131.3220309	141.1345491	143.2101717			167.4780012				187.93387	196.6450146
Guinea	-18.88763706	-7.893492337	-13.51705104	-13.57101704	-4.040763919	-5.25302854	-4.612406022	78.51097193	37.88408228	29.4449488	23.20684065	56.87042018	15.18587686	17.04037976	25.70471883	55.73939916	39.82820677	107.498043	145.8346939	53.86375017	54.69288406	55.51318586
"Gambia, The"	-3.984034815	-0.839584445	-2.147942755	0.498143686	4.588292506	4.299890256	5.176310968	75.57717648	128.217371	140.8384832	213.6049483	186.4717505	104.9845657	161.8933858	152.3225468	215.3707017	238.7239285	181.6472419	153.2788993	192.6703818	194.7174136	196.6766684
Guinea-Bissau	-8.199511337	-2.19929044	-2.954921063	-1.853123968	4.436350746	3.944409289	4.932497722	299.8228156	415.4785418	316.9568772	358.3016379	263.8628455	569.0248603	337.3529918	242.7061888	542.1209278	320.0914569	256.5843001	209.8429099	362.69055	364.8282453	366.888499
Equatorial Guinea	169.6866703	334.3165765	506.5574287	671.6504961	718.4692618	782.0840021	1106.841605	1348.351553	1454.210863	1563.377557	2068.623704			2182.019257	2232.109678	2239.198262	2335.343309	2269.286505	2299.75392	2406.00408		2519.019567
Greece	-1.026262059	0.282632217	-0.34839554	0.799747405	2.735286815	5.892257087	9.83653299	17.80069583	13.65491203	19.20814922	17.96092294	19.14500003	22.83510831	22.20061	24.18518062	21.3681505	31.79548656	21.36542794	17.2842121	11.22185162	8.643670233	4.047346283
Grenada	-0.282509482	-0.106341147	-0.955121641	17.55891241	12.4997675	24.94592301	31.7340479	30.20980727	40.48518514	200.8003439	181.6240377	203.8152852	199.7715997	217.3098434	256.0774019	298.2569904	296.2961433	307.6788601	308.5342501	332.3320407	346.9152017	359.8984646
Greenland																						
Guatemala	12.95100337	11.59093567	23.89901974	23.95535499	31.04892651	33.497482	29.43840737	487.3522025	55.07603465	369.6048277	46.04948047	110.7990168	270.3896534	63.46057043	179.9900369	81.12662169	128.642732	120.413985	148.9955454	103.4400816	107.6172581	111.4086497
Guam	2.174133643	4.635406842	7.105273722	9.423816307	11.66028949	13.80658044	15.97200443	11.26929933	13.39110291	15.56375745	17.74029219	20.04480053	22.13329045	24.34408129	26.41814135	28.57104741	30.84637983	33.27644023	35.38380464	38.94053795	40.84867023	42.67604681
Guyana	-1.361917078	3.801292978	10.69535049	-9.0358348	-3.755040293	-1.855068718	-1.889350415	-23.13609959	-72.63538944	-73.67727231	-70.86337252	-69.60665242	-65.39693926	-70.33311046	-70.6172801	-72.22532604	-70.48584841	-69.44908999	53.94672034	-64.52267287	-63.89356391	-63.30733113
High income	0.326788454	-0.327290969	0.529746515	3.177639709	5.858471087	7.605563604	11.03554748	13.25636189	13.51835758	14.11721303	14.58124569	16.01970088	17.55338772	18.66602012	15.48250235	16.11848795	19.55697988	14.68465023	12.56813694	9.750734616	13.8841954	8.828746427
"Hong Kong SAR, China"	7.944558777	20.00984203	26.70037587	9.383975725	9.092129616	6.741821349	0.036818616	23.54530316	31.44472657	21.57951258	24.79059474	21.22402503	28.55834067	23.39540695	24.58708373	27.16356814	31.67664683	39.43788426	39.68737679	47.7689191	52.86098899	57.38974321
Honduras	12.50694226	4.842722906	12.03276841	13.91565982	22.59591904	25.25024306	17.46555689	66.43342038	2.007286192	59.81220539	-8.637196631	8.354879447	66.1001599	9.358070718	69.12044051	21.60405109	39.76364365	44.18951621	44.85777136	43.29941036	46.3632273	49.15453646
Heavily indebted poor countries (HIPC)	-15.13596193	18.28234743	-16.45521698	-10.93183901	-7.151158774	-14.97886644	-16.30355765	57.88755776	33.0781593	33.86800292	21.67248242	25.3962119	42.25411764	32.79990573	53.75012791	40.74443475	56.94262694	44.39035183	32.00110448	38.27109544	56.23381946	56.14695909
Croatia	-24.14548077	-28.61550981	-28.3696346	-30.65132209	-29.11550982	-30.61216133	-23.86520225	-21.02321512	-21.68205608	-21.36873206	-21.79193037	-18.51944415	-13.59592888	-14.51825267	-14.02297493	-12.79499737	-4.126273667	-5.171454869	-9.423802476	-10.2540793	-12.3244631	-12.41792098
Haiti	3.343233613	8.010151677	5.085684271	-3.269813793	11.09390079	17.048778	23.8068099	26.00278623	30.6821053	34.01371894	39.97630235	42.1747099	41.85013004	46.9354348	50.45653931	52.50529929	59.36585581	57.96927777	57.79669121	59.51444883	62.31934605	64.93352333
Hungary	-7.510101254	-18.18250714	-18.75359192	-19.480995	-20.63594234	-17.26123255	-19.26316402	-20.15682469	-19.86037225	-22.62396149	-22.12462574	-23.50561494	-21.07897317	-22.15868093	-22.56071527	-22.97395198	-25.85383206	-26.62510825	-32.53651879	-32.0868754	-33.99946116	-35.43110871
